year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2008,05,90490,5317,1199,6516,5783831,0.09192868878776023,0.02073020459968488,1.564533956818586,0.1126588933874451,Antioquia,97006,0.9328288971816177,0.054811042615920666,0.012360060202461703
2009,05,85458,4395,976,5371,5843258,0.07521488868025338,0.016703010546513606,1.4625060197581554,0.09191789922676699,Antioquia,90829,0.9408669037421968,0.0483876295015909,0.010745466756212223
2010,05,77951,4517,859,5376,5902729,0.0765239264753642,0.01455259084399775,1.3205925598142825,0.09107651731936195,Antioquia,83327,0.9354830967153503,0.0542081198171061,0.010308783467543534
2011,05,76361,5108,818,5926,5959950,0.08570541699175328,0.013724947356940914,1.2812355808354097,0.0994303643486942,Antioquia,82287,0.9279837641425741,0.06207541896046763,0.009940816896958207
2012,05,77139,6063,764,6827,6013862,0.10081707894195112,0.012703982898177577,1.2826865664692673,0.1135210618401287,Antioquia,83966,0.9186932806135817,0.07220779839458828,0.009098920991830026
2013,05,74757,6148,742,6890,6066128,0.10134965829933032,0.012231855311988142,1.2323676651729076,0.11358151361131845,Antioquia,81647,0.9156123311328034,0.07529976606611388,0.009087902801082709
2014,05,76419,6103,733,6836,6118257,0.09975063159327893,0.01198053628672349,1.24903219985692,0.11173116788000242,Antioquia,83255,0.9178908173683262,0.07330490661221548,0.00880427601945829
2015,05,75930,7109,666,7775,6172103,0.11517954253193766,0.010790487456220351,1.2302127816078248,0.125970029988158,Antioquia,83705,0.9071142703542202,0.08492921569798698,0.007956513947792844
2016,05,75024,7461,675,8136,6233144,0.11969882293750955,0.010829205935239103,1.2036301423487088,0.13052802887274864,Antioquia,83160,0.9021645021645022,0.08971861471861473,0.008116883116883116
2017,05,76844,6090,700,6790,6299264,0.09667796110783736,0.011112409322739927,1.219888545709467,0.10779037043057729,Antioquia,83634,0.9188129229739102,0.07281727527082286,0.008369801755266996
2008,08,41299,286,619,905,2240312,0.012766079010423549,0.02763008009598663,1.8434485910890983,0.04039615910641018,Atlántico,42204,0.9785565349255995,0.0067766088522414935,0.014666856222159037
2009,08,39797,317,578,895,2265864,0.013990248311460882,0.02550903319881511,1.756371962306652,0.03949928151027599,Atlántico,40692,0.9780055047675219,0.007790229037648678,0.014204266194829451
2010,08,35146,251,455,706,2290571,0.010957966376069548,0.019864042633910933,1.534377236069085,0.03082200900998048,Atlántico,35852,0.9803079326118487,0.007001004128082115,0.012691063260069173
2011,08,35042,290,513,803,2313848,0.012533234680929775,0.022170859970058535,1.5144469299625558,0.03470409465098831,Atlántico,35845,0.9775979913516529,0.008090389175617241,0.01431161947272981
2012,08,39873,515,484,999,2336111,0.022045185352922013,0.020718193613231562,1.7068110205379796,0.04276337896615358,Atlántico,40872,0.9755578391074574,0.012600313172832257,0.011841847719710315
2013,08,39054,560,553,1113,2357801,0.02375094420606319,0.023454057403487404,1.6563738839706998,0.047205001609550594,Atlántico,40167,0.9722906863843453,0.013941793014165857,0.013767520601488784
2014,08,41014,700,570,1270,2378534,0.02942989253044102,0.02396434106050197,1.7243394460621542,0.053394233590942995,Atlántico,42284,0.9699649985810236,0.01655472519156182,0.013480276227414625
2015,08,40621,577,568,1145,2400233,0.024039332848102665,0.023664369250818565,1.6923773650308116,0.04770370209892123,Atlántico,41766,0.9725853565100799,0.013815064885313413,0.013599578604606618
2016,08,40880,1458,531,1989,2429224,0.06001916661452381,0.02185883228553645,1.6828419281219023,0.08187799890006027,Atlántico,42869,0.9536028365485549,0.034010590403321744,0.012386573048123352
2017,08,42135,1690,529,2219,2464294,0.06857947955885134,0.021466594489131574,1.7098203379953854,0.09004607404798291,Atlántico,44354,0.9499706903548721,0.03810253866618569,0.011926770978942148
2008,11,117590,7930,1558,9488,6936977,0.11431492420978187,0.022459350809437596,1.6951187815672446,0.13677427501921946,"Bogotá, D.C.",127078,0.9253371944789814,0.062402618864004784,0.012260186657013802
2009,11,115799,7473,1399,8872,7003434,0.1067047965326724,0.01997591467271627,1.6534602881957623,0.12668071120538868,"Bogotá, D.C.",124671,0.9288366981896351,0.05994176673003345,0.011221535080331432
2010,11,110947,8674,1316,9990,7065669,0.12276261455213937,0.018625271011138506,1.5702264003592583,0.14138788556327786,"Bogotá, D.C.",120937,0.9173950073178597,0.07172329394643492,0.010881698735705367
2011,11,107007,8980,1291,10271,7119281,0.1261363331493728,0.018133853685505602,1.5030590870061176,0.1442701868348784,"Bogotá, D.C.",117278,0.9124217670833404,0.07657020071965756,0.011008032197001996
2012,11,105451,10185,1248,11433,7162261,0.14220369796632656,0.017424665199997597,1.4723143990424252,0.15962836316632414,"Bogotá, D.C.",116884,0.9021850723794531,0.08713767495978919,0.010677252660757674
2013,11,103256,10296,1052,11348,7197326,0.14305312834238715,0.01461653953148711,1.4346439219232254,0.15766966787387426,"Bogotá, D.C.",114604,0.9009807685595617,0.08983979616767303,0.009179435272765348
2014,11,103856,9884,1049,10933,7226652,0.13677149529270263,0.014515712116758908,1.437124687891433,0.15128720740946153,"Bogotá, D.C.",114789,0.9047556821646674,0.08610581153246391,0.009138506302868742
2015,11,102795,10452,911,11363,7253823,0.1440895373377597,0.012558894806228385,1.4171148096665718,0.15664843214398808,"Bogotá, D.C.",114158,0.9004625168625939,0.09155731529984758,0.007980167837558472
2016,11,98653,8820,928,9748,7290415,0.12098076721284041,0.012729042173868017,1.3531877129079757,0.13370980938670843,"Bogotá, D.C.",108401,0.9100746303078385,0.08136456305753637,0.008560806634625141
2017,11,92054,7662,866,8528,7333415,0.10448065464725506,0.011808959400224861,1.2552678390627015,0.11628961404747992,"Bogotá, D.C.",100582,0.9152134576763238,0.07617665188602335,0.00860989043765286
2008,13,30801,378,512,890,1876733,0.020141383990157365,0.02728145133058352,1.6412030906900448,0.04742283532074088,Bolívar,31691,0.9719163169354075,0.011927676627433657,0.016156006437158813
