id_resid,count,alive,fetal,no_fetal,cod_dpto,deaths,mpio_name,year,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,prob_alive,prob_fetal,prob_no_fetal
05001,36141,33228,2532,381,05,2913,MEDELLÍN,2008,2309689,0.10962514866720152,0.016495727346841935,1.4386352448316635,0.12612087601404345,0.9193990205030298,0.07005893583464763,0.01054204366232257
05002,332,309,18,5,05,23,ABEJORRAL,2008,20944,0.08594346829640948,0.02387318563789152,1.475362872421696,0.109816653934301,0.9307228915662651,0.05421686746987952,0.015060240963855422
05004,32,27,4,1,05,5,ABRIAQUÍ,2008,2290,0.17467248908296942,0.043668122270742356,1.1790393013100438,0.2183406113537118,0.84375,0.125,0.03125
05021,72,69,2,1,05,3,ALEJANDRÍA,2008,4020,0.04975124378109453,0.024875621890547265,1.7164179104477613,0.07462686567164178,0.9583333333333334,0.027777777777777776,0.013888888888888888
05030,388,361,26,1,05,27,AMAGÁ,2008,28331,0.09177226359817868,0.0035297024460837953,1.2742225830362501,0.09530196604426247,0.9304123711340206,0.06701030927835051,0.002577319587628866
05031,423,411,5,7,05,12,AMALFI,2008,21745,0.022993791676247412,0.032191308346746376,1.8900896757875374,0.05518510002299379,0.9716312056737588,0.01182033096926714,0.016548463356973995
05034,669,650,14,5,05,19,ANDES,2008,41480,0.033751205400192864,0.012054001928640309,1.56702025072324,0.04580520732883317,0.9715994020926756,0.02092675635276532,0.007473841554559043
05036,91,85,6,0,05,6,ANGELÓPOLIS,2008,7966,0.07532011046949535,0.0,1.0670348983178508,0.07532011046949535,0.9340659340659341,0.06593406593406594,0.0
05038,186,179,2,5,05,7,ANGOSTURA,2008,10441,0.019155253328225267,0.047888133320563166,1.7143951728761613,0.06704338664878844,0.9623655913978495,0.010752688172043012,0.026881720430107527
05040,287,283,1,3,05,4,ANORÍ,2008,10305,0.009704027171276079,0.02911208151382824,2.7462396894711305,0.038816108685104316,0.9860627177700348,0.003484320557491289,0.010452961672473868
05042,444,384,57,3,05,60,SANTA FÉ DE ANTIOQUIA,2008,23663,0.24088239022947217,0.012678020538393273,1.622786628914339,0.25356041076786545,0.8648648648648649,0.12837837837837837,0.006756756756756757
05044,134,121,13,0,05,13,ANZÁ,2008,6591,0.19723865877712032,0.0,1.8358367470793506,0.19723865877712032,0.9029850746268657,0.09701492537313433,0.0
05045,3158,2801,293,64,05,357,APARTADÓ,2008,111883,0.2618807146751517,0.057202613444401744,2.503508129027645,0.3190833281195535,0.8869537682077264,0.09278024065864471,0.02026599113362888
05051,521,494,18,9,05,27,ARBOLETES,2008,30949,0.0581601990371256,0.0290800995185628,1.5961743513522246,0.08724029855568839,0.9481765834932822,0.0345489443378119,0.01727447216890595
05055,155,148,5,2,05,7,ARGELIA,2008,7170,0.0697350069735007,0.02789400278940028,2.0641562064156207,0.09762900976290098,0.9548387096774194,0.03225806451612903,0.012903225806451613
05059,63,56,6,1,05,7,ARMENIA,2008,5359,0.11196118678857996,0.018660197798096658,1.044971076693413,0.13062138458667663,0.8888888888888888,0.09523809523809523,0.015873015873015872
05079,647,629,10,8,05,18,BARBOSA,2008,44568,0.022437623406928738,0.01795009872554299,1.4113265122958176,0.04038772213247173,0.9721792890262752,0.015455950540958269,0.012364760432766615
05086,96,91,5,0,05,5,BELMIRA,2008,5848,0.08549931600547196,0.0,1.5560875512995895,0.08549931600547196,0.9479166666666666,0.052083333333333336,0.0
05088,5787,5597,145,45,05,190,BELLO,2008,388988,0.03727621417627279,0.0115684802616019,1.4388618672041298,0.04884469443787469,0.9671677898738552,0.0250561603594263,0.007776049766718507
05091,147,144,2,1,05,3,BETANIA,2008,10558,0.018942981625307824,0.009471490812653912,1.3638946770221634,0.028414472437961736,0.9795918367346939,0.013605442176870748,0.006802721088435374
05093,273,262,4,7,05,11,BETULIA,2008,15973,0.02504225881174482,0.04382395292055343,1.6402679521692856,0.06886621173229825,0.9597069597069597,0.014652014652014652,0.02564102564102564
05101,545,505,35,5,05,40,CIUDAD BOLÍVAR,2008,29324,0.11935615877779293,0.01705087982539899,1.722138862365298,0.13640703860319192,0.926605504587156,0.06422018348623854,0.009174311926605505
05107,191,187,2,2,05,4,BRICEÑO,2008,8280,0.024154589371980676,0.024154589371980676,2.258454106280193,0.04830917874396135,0.9790575916230366,0.010471204188481676,0.010471204188481676
05113,134,123,10,1,05,11,BURITICÁ,2008,7030,0.1422475106685633,0.01422475106685633,1.7496443812233287,0.15647226173541964,0.917910447761194,0.07462686567164178,0.007462686567164179
05120,687,674,6,7,05,13,CÁCERES,2008,28501,0.021051892916038033,0.024560541735377705,2.3648293042349393,0.04561243465141574,0.9810771470160117,0.008733624454148471,0.010189228529839884
05125,177,155,19,3,05,22,CAICEDO,2008,7663,0.24794466918961242,0.039149158293096696,2.022706511809996,0.2870938274827091,0.8757062146892656,0.10734463276836158,0.01694915254237288
05129,1084,899,176,9,05,185,CALDAS,2008,71196,0.24720489915163774,0.012641159615708747,1.2627113882802405,0.25984605876734646,0.8293357933579336,0.16236162361623616,0.008302583025830259
05134,145,145,0,0,05,0,CAMPAMENTO,2008,4283,0.0,0.0,3.3854774690637406,0.0,1.0,0.0,0.0
05138,210,190,16,4,05,20,CAÑASGORDAS,2008,17364,0.09214466712739,0.0230361667818475,1.0942179221377564,0.1151808339092375,0.9047619047619048,0.0761904761904762,0.01904761904761905
05142,57,57,0,0,05,0,CARACOLÍ,2008,4943,0.0,0.0,1.1531458628363342,0.0,1.0,0.0,0.0
05145,69,62,6,1,05,7,CARAMANTA,2008,5605,0.10704727921498662,0.01784121320249777,1.1061552185548618,0.12488849241748438,0.8985507246376812,0.08695652173913043,0.014492753623188406
05147,1001,932,57,12,05,69,CAREPA,2008,43811,0.13010431170254047,0.02739038141106115,2.127319622925749,0.15749469311360162,0.9310689310689311,0.056943056943056944,0.011988011988011988
05148,598,586,12,0,05,12,EL CARMEN DE VIBORAL,2008,44046,0.027244244653316988,0.0,1.3304272805703128,0.027244244653316988,0.979933110367893,0.020066889632107024,0.0
05150,41,39,2,0,05,2,CAROLINA,2008,4071,0.04912797838368951,0.0,0.9579955784819455,0.04912797838368951,0.9512195121951219,0.04878048780487805,0.0
05154,2302,2226,41,35,05,76,CAUCASIA,2008,85519,0.047942562471497564,0.04092657771957109,2.6029303429647213,0.08886914019106865,0.9669852302345786,0.017810599478714162,0.015204170286707211
05172,1636,1512,85,39,05,124,CHIGORODÓ,2008,52909,0.16065319699862027,0.07371146685819048,2.857736868963692,0.23436466385681076,0.9242053789731052,0.0519559902200489,0.023838630806845965
05190,168,165,2,1,05,3,CISNEROS,2008,10056,0.01988862370723946,0.00994431185361973,1.6408114558472553,0.029832935560859187,0.9821428571428571,0.011904761904761904,0.005952380952380952
05197,206,201,4,1,05,5,COCORNÁ,2008,15513,0.025784825630116675,0.006446206407529169,1.295687487913363,0.032231032037645845,0.9757281553398058,0.019417475728155338,0.0048543689320388345
05206,66,62,4,0,05,4,CONCEPCIÓN,2008,4663,0.08578168561012224,0.0,1.3296161269568947,0.08578168561012224,0.9393939393939394,0.06060606060606061,0.0
05209,346,342,4,0,05,4,CONCORDIA,2008,21507,0.018598595806016645,0.0,1.5901799414144233,0.018598595806016645,0.9884393063583815,0.011560693641618497,0.0
05212,766,741,19,6,05,25,COPACABANA,2008,64326,0.0295370456736001,0.009327488107452663,1.1519447812704038,0.038864533781052764,0.9673629242819843,0.024804177545691905,0.007832898172323759
05234,373,333,37,3,05,40,DABEIBA,2008,20756,0.17826170745808442,0.014453651956060899,1.6043553671227597,0.1927153594141453,0.8927613941018767,0.09919571045576407,0.00804289544235925
05237,333,317,8,8,05,16,DONMATÍAS,2008,17368,0.046061722708429294,0.046061722708429294,1.825195762321511,0.09212344541685859,0.9519519519519519,0.024024024024024024,0.024024024024024024
05240,176,162,12,2,05,14,EBÉJICO,2008,11469,0.10462987182840701,0.01743831197140117,1.4125032696834947,0.12206818379980817,0.9204545454545454,0.06818181818181818,0.011363636363636364
05250,1134,1092,16,26,05,42,EL BAGRE,2008,40730,0.03928308372207218,0.0638350110483673,2.6810704640314267,0.10311809477043948,0.9629629629629629,0.014109347442680775,0.02292768959435626
05264,139,136,2,1,05,3,ENTRERRÍOS,2008,9074,0.02204099625303064,0.01102049812651532,1.4987877452060834,0.033061494379545954,0.9784172661870504,0.014388489208633094,0.007194244604316547
05266,1860,1653,181,26,05,207,ENVIGADO,2008,185567,0.09753889430771635,0.014011111889506217,0.8907833828212991,0.11155000619722256,0.8887096774193548,0.09731182795698924,0.013978494623655914
05282,278,251,26,1,05,27,FREDONIA,2008,23656,0.10990869124112276,0.004227257355427798,1.0610415962123774,0.11413594859655056,0.9028776978417267,0.09352517985611511,0.0035971223021582736
05284,343,306,24,13,05,37,FRONTINO,2008,19440,0.12345679012345678,0.0668724279835391,1.5740740740740742,0.19032921810699588,0.892128279883382,0.06997084548104957,0.037900874635568516
05306,77,71,5,1,05,6,GIRALDO,2008,4524,0.11052166224580018,0.022104332449160036,1.5694076038903626,0.13262599469496023,0.922077922077922,0.06493506493506493,0.012987012987012988
05308,514,495,14,5,05,19,GIRARDOTA,2008,44590,0.03139717425431711,0.011213276519398968,1.1101143754204978,0.04261045077371608,0.9630350194552529,0.027237354085603113,0.009727626459143969
05310,114,112,1,1,05,2,GÓMEZ PLATA,2008,11680,0.008561643835616438,0.008561643835616438,0.958904109589041,0.017123287671232876,0.9824561403508771,0.008771929824561403,0.008771929824561403
05313,165,157,7,1,05,8,GRANADA,2008,10788,0.06488691138301816,0.009269558769002595,1.4553207267334074,0.07415647015202076,0.9515151515151515,0.04242424242424243,0.006060606060606061
05315,100,98,1,1,05,2,GUADALUPE,2008,5997,0.01667500416875104,0.01667500416875104,1.6341504085376022,0.03335000833750208,0.98,0.01,0.01
05318,570,545,18,7,05,25,GUARNE,2008,42072,0.04278379920136908,0.016638144133865752,1.2953983647081193,0.05942194333523484,0.956140350877193,0.031578947368421054,0.012280701754385965
05321,56,51,2,3,05,5,GUATAPÉ,2008,6213,0.03219056816352809,0.04828585224529213,0.8208594881699662,0.08047642040882022,0.9107142857142857,0.03571428571428571,0.05357142857142857
