year,id_birth,resultado_emb,count,mpio_name
2008,11001,DEFUNCION_FETAL,8463,"BOGOTÁ, D.C."
2008,13001,DEFUNCION_FETAL,250,CARTAGENA DE INDIAS
2008,13006,DEFUNCION_FETAL,5,ACHÍ
2008,13030,DEFUNCION_FETAL,1,ALTOS DEL ROSARIO
2008,13042,DEFUNCION_FETAL,4,ARENAL
2008,13052,DEFUNCION_FETAL,1,ARJONA
2008,13074,DEFUNCION_FETAL,1,BARRANCO DE LOBA
2008,13140,DEFUNCION_FETAL,1,CALAMAR
2008,13188,DEFUNCION_FETAL,1,CICUCO
2008,13244,DEFUNCION_FETAL,18,EL CARMEN DE BOLÍVAR
2008,13248,DEFUNCION_FETAL,1,EL GUAMO
2008,13268,DEFUNCION_FETAL,1,EL PEÑÓN
2008,13430,DEFUNCION_FETAL,37,MAGANGUÉ
2008,13433,DEFUNCION_FETAL,1,MAHATES
2008,13442,DEFUNCION_FETAL,1,MARÍA LA BAJA
2008,13468,DEFUNCION_FETAL,7,MOMPÓS
2008,13473,DEFUNCION_FETAL,1,MORALES
2008,13490,DEFUNCION_FETAL,1,NOROSÍ
2008,13549,DEFUNCION_FETAL,3,PINILLOS
2008,13600,DEFUNCION_FETAL,2,RÍO VIEJO
2008,13647,DEFUNCION_FETAL,1,SAN ESTANISLAO
2008,13667,DEFUNCION_FETAL,1,SAN MARTÍN DE LOBA
2008,13670,DEFUNCION_FETAL,2,SAN PABLO
2008,13683,DEFUNCION_FETAL,6,SANTA ROSA
2008,13744,DEFUNCION_FETAL,2,SIMITÍ
2008,13780,DEFUNCION_FETAL,1,TALAIGUA NUEVO
2008,13810,DEFUNCION_FETAL,4,TIQUISIO
2008,13836,DEFUNCION_FETAL,2,TURBACO
2008,13838,DEFUNCION_FETAL,1,TURBANÁ
2008,15001,DEFUNCION_FETAL,71,TUNJA
2008,15022,DEFUNCION_FETAL,2,ALMEIDA
2008,15047,DEFUNCION_FETAL,1,AQUITANIA
2008,15087,DEFUNCION_FETAL,1,BELÉN
2008,15176,DEFUNCION_FETAL,14,CHIQUINQUIRÁ
2008,15223,DEFUNCION_FETAL,6,CUBARÁ
2008,15238,DEFUNCION_FETAL,34,DUITAMA
2008,15244,DEFUNCION_FETAL,1,EL COCUY
2008,15276,DEFUNCION_FETAL,1,FLORESTA
2008,15299,DEFUNCION_FETAL,35,GARAGOA
2008,15317,DEFUNCION_FETAL,2,GUACAMAYAS
2008,15322,DEFUNCION_FETAL,5,GUATEQUE
2008,15332,DEFUNCION_FETAL,3,GÜICÁN DE LA SIERRA
2008,15368,DEFUNCION_FETAL,1,JERICÓ
2008,15407,DEFUNCION_FETAL,2,VILLA DE LEYVA
2008,15425,DEFUNCION_FETAL,1,MACANAL
2008,15455,DEFUNCION_FETAL,1,MIRAFLORES
2008,15466,DEFUNCION_FETAL,1,MONGUÍ
2008,15469,DEFUNCION_FETAL,5,MONIQUIRÁ
2008,15507,DEFUNCION_FETAL,2,OTANCHE
2008,15522,DEFUNCION_FETAL,1,PANQUEBA
2008,15572,DEFUNCION_FETAL,11,PUERTO BOYACÁ
2008,15632,DEFUNCION_FETAL,2,SABOYÁ
2008,15690,DEFUNCION_FETAL,1,SANTA MARÍA
2008,15693,DEFUNCION_FETAL,1,SANTA ROSA DE VITERBO
2008,15723,DEFUNCION_FETAL,1,SATIVASUR
2008,15740,DEFUNCION_FETAL,1,SIACHOQUE
2008,15753,DEFUNCION_FETAL,4,SOATÁ
2008,15755,DEFUNCION_FETAL,1,SOCOTÁ
2008,15757,DEFUNCION_FETAL,1,SOCHA
2008,15759,DEFUNCION_FETAL,35,SOGAMOSO
2008,15762,DEFUNCION_FETAL,1,SORA
2008,15790,DEFUNCION_FETAL,1,TASCO
2008,15804,DEFUNCION_FETAL,2,TIBANÁ
2008,15814,DEFUNCION_FETAL,1,TOCA
2008,15835,DEFUNCION_FETAL,1,TURMEQUÉ
2008,15837,DEFUNCION_FETAL,1,TUTA
2008,15842,DEFUNCION_FETAL,1,ÚMBITA
2008,17001,DEFUNCION_FETAL,132,MANIZALES
2008,17013,DEFUNCION_FETAL,12,AGUADAS
2008,17042,DEFUNCION_FETAL,3,ANSERMA
2008,17050,DEFUNCION_FETAL,1,ARANZAZU
2008,17088,DEFUNCION_FETAL,6,BELALCÁZAR
2008,17174,DEFUNCION_FETAL,141,CHINCHINÁ
2008,17272,DEFUNCION_FETAL,1,FILADELFIA
2008,17380,DEFUNCION_FETAL,302,LA DORADA
2008,17388,DEFUNCION_FETAL,2,LA MERCED
2008,17433,DEFUNCION_FETAL,5,MANZANARES
2008,17444,DEFUNCION_FETAL,7,MARQUETALIA
2008,17486,DEFUNCION_FETAL,2,NEIRA
2008,17495,DEFUNCION_FETAL,4,NORCASIA
2008,17513,DEFUNCION_FETAL,6,PÁCORA
2008,17524,DEFUNCION_FETAL,21,PALESTINA
2008,17541,DEFUNCION_FETAL,8,PENSILVANIA
2008,17614,DEFUNCION_FETAL,106,RIOSUCIO
2008,17616,DEFUNCION_FETAL,5,RISARALDA
2008,17653,DEFUNCION_FETAL,5,SALAMINA
2008,17662,DEFUNCION_FETAL,7,SAMANÁ
2008,17777,DEFUNCION_FETAL,3,SUPÍA
2008,17867,DEFUNCION_FETAL,3,VICTORIA
2008,17873,DEFUNCION_FETAL,2,VILLAMARÍA
2008,17877,DEFUNCION_FETAL,3,VITERBO
2008,18001,DEFUNCION_FETAL,109,FLORENCIA
2008,18150,DEFUNCION_FETAL,3,CARTAGENA DEL CHAIRÁ
2008,18247,DEFUNCION_FETAL,4,EL DONCELLO
2008,18753,DEFUNCION_FETAL,2,SAN VICENTE DEL CAGUÁN
2008,18785,DEFUNCION_FETAL,2,SOLITA
2008,19001,DEFUNCION_FETAL,152,POPAYÁN
2008,19022,DEFUNCION_FETAL,4,ALMAGUER
2008,19050,DEFUNCION_FETAL,4,ARGELIA
2008,19075,DEFUNCION_FETAL,3,BALBOA
2008,19100,DEFUNCION_FETAL,7,BOLÍVAR
2008,19110,DEFUNCION_FETAL,1,BUENOS AIRES
2008,19130,DEFUNCION_FETAL,3,CAJIBÍO
2008,19137,DEFUNCION_FETAL,4,CALDONO
2008,19142,DEFUNCION_FETAL,2,CALOTO
2008,19212,DEFUNCION_FETAL,1,CORINTO
2008,19256,DEFUNCION_FETAL,4,EL TAMBO
2008,19300,DEFUNCION_FETAL,1,GUACHENÉ
2008,19318,DEFUNCION_FETAL,4,GUAPI
2008,19355,DEFUNCION_FETAL,3,INZÁ
2008,19364,DEFUNCION_FETAL,2,JAMBALÓ
2008,19397,DEFUNCION_FETAL,1,LA VEGA
2008,19418,DEFUNCION_FETAL,2,LÓPEZ DE MICAY
2008,19450,DEFUNCION_FETAL,2,MERCADERES
2008,19473,DEFUNCION_FETAL,1,MORALES
2008,19513,DEFUNCION_FETAL,1,PADILLA
2008,19517,DEFUNCION_FETAL,7,PÁEZ
