Divipola,Municipios,Departamentos ,Cobertura de viviendas con servicio de acueducto - Cabecera Municipal,Cobertura de viviendas con servicio de alcantarillado - Cabecera Municipal,Cobertura de viviendas con servicio de Energía eléctrica - Cabecera Municipal,Cobertura de viviendas con servicio de Conexión a gas - Cabecera Municipal,Cobertura de viviendas con servicio de Recoleccion de basuras - Cabecera Municipal,Cobertura de viviendas con servicio de Telefonia - Cabecera Municipal,Asistencia a centro educativo de 0 - 17 años
5001,Medellin,ANTIOQUIA,88.61,86.05,89.57,39.12,89.56,74.96,18.69
5002,Abejorral,ANTIOQUIA,39.19,38.58,39.6,0.12,39.52,15.79,14.94
5004,Abriaquí,ANTIOQUIA,28.84,29.03,29.03,0.19,29.03,9.11,19.85
5021,Alejandría,ANTIOQUIA,57.38,56.55,56.64,0,57.38,13.85,17.31
5030,Amagá ,ANTIOQUIA,41.31,41.2,41.53,0.6,41.87,21.45,16.56
5031,Amalfi,ANTIOQUIA,52.56,50.84,54.71,0.26,55.41,12.16,19.58
5034,Andes,ANTIOQUIA,42.74,40.81,44.39,1.04,44.37,10.98,16.72
5036,Angelópolis,ANTIOQUIA,40.93,30.59,41.7,0.06,41.57,11.49,17.99
5038,Angostura,ANTIOQUIA,20.51,19.25,20.83,0.11,20.37,6.53,15.04
5040,Anorí,ANTIOQUIA,35.8,26.86,37.52,0.05,37.1,8.52,16.87
5042,Santafé de Antioquia,ANTIOQUIA,60.1,58.96,59.37,1.14,60.11,30.52,17.33
5044,Anzá ,ANTIOQUIA,20.13,19.53,20.03,0.05,20.53,5.15,18.7
5045,Apartadó,ANTIOQUIA,75.59,80.24,80.73,3.53,81.45,17.63,18.47
5051,Arboletes,ANTIOQUIA,32.65,26.61,33.81,0.72,30.26,4.96,22.74
5055,Argelia,ANTIOQUIA,38.99,31.74,39.88,0.19,38.66,7.67,19
5059,Armenia,ANTIOQUIA,27.76,27.2,27.52,0.08,27.52,10.15,14.93
5079,Barbosa,ANTIOQUIA,39.05,35.85,44.1,22.75,43.75,37.32,17.47
5086,Belmira,ANTIOQUIA,29.28,28.2,30.87,0,30.08,13.23,20.06
5088,Bello,ANTIOQUIA,90.01,87.87,95.41,49.04,95.23,77.75,15.97
5091,Betania,ANTIOQUIA,41.17,40.73,41.97,0.56,41.73,9.99,15.58
5093,Betulia,ANTIOQUIA,28.18,27.07,28.52,0.18,28.61,7.56,18.09
5101,Bolívar,ANTIOQUIA,62.84,50.56,63.69,0.81,63.76,24.19,14.95
5107,Briceño,ANTIOQUIA,30.73,30.68,32.33,0.9,32.48,3.55,17.94
